City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,San Cristobal,VE,68.18,broken clouds,7.7669,-72.225,San Cristobal
5,Mataura,NZ,46.47,clear sky,-46.1927,168.8643,Gore
9,Sorland,NO,46.26,overcast clouds,67.667,12.6934,Sørland
19,Busselton,AU,66.9,scattered clouds,-33.65,115.3333,Busselton
20,Plettenberg Bay,ZA,59.56,overcast clouds,-34.0527,23.3716,Plettenberg Bay
24,Puerto Ayora,EC,69.55,scattered clouds,-0.7393,-90.3518,Puerto Ayora
28,Mar Del Plata,AR,46.09,clear sky,-38.0023,-57.5575,Mar del Plata
32,Khatanga,RU,55.36,overcast clouds,71.9667,102.5,Chatanga
34,Punta Arenas,CL,33.91,clear sky,-53.15,-70.9167,Punta Arenas
36,Longmont,US,66.67,clear sky,40.1672,-105.1019,Longmont
39,Humberto De Campos,BR,73.56,overcast clouds,-2.5983,-43.4611,Humberto de Campos
42,Takoradi,GH,73.74,light rain,4.8845,-1.7554,Takoradi
43,Hambantota,LK,88.14,few clouds,6.1241,81.1185,Hambantota
46,Chuy,UY,52.56,overcast clouds,-33.6971,-53.4616,Chuy
49,Brae,GB,52.48,overcast clouds,60.3964,-1.353,Brae
50,Hervey Bay,AU,72.01,clear sky,-25.2986,152.8535,Hervey Bay
53,Georgetown,MY,87.73,few clouds,5.4112,100.3354,George Town
55,Kenai,US,75.02,clear sky,60.5544,-151.2583,Kalifornsky
57,Zhireken,RU,70.05,broken clouds,52.8249,117.3076,Zhireken
58,Avarua,CK,80.65,broken clouds,-21.2078,-159.775,Avarua District
60,Kaeo,NZ,56.32,broken clouds,-35.1,173.7833,Kaeo
64,Torbay,CA,59.88,overcast clouds,47.6666,-52.7314,St. John's
65,Camacha,PT,62.02,broken clouds,33.0833,-16.3333,Vila Baleira
66,Mandalgovi,MN,82.18,broken clouds,45.7625,106.2708,Mandalgovi
67,Debre Zeyit,ET,65.77,broken clouds,8.75,38.9833,Bishoftu
69,Tasiilaq,GL,35.76,broken clouds,65.6145,-37.6368,Tasiilaq
70,Chokurdakh,RU,52.59,light rain,70.6333,147.9167,Chokurdakh
71,Ruza,RU,51.87,overcast clouds,55.699,36.1952,Ruza
72,Beringovskiy,RU,50.16,light rain,63.05,179.3167,Beringovskii
73,Bambous Virieux,MU,71.22,scattered clouds,-20.3428,57.7575,Vieux Grand Port
75,Constitucion,CL,50.13,overcast clouds,-35.3333,-72.4167,Constitución
76,Namibe,AO,59.34,clear sky,-15.1961,12.1522,Namibe
79,Laguna,US,91.36,clear sky,38.421,-121.4238,Sacramento
